Date,Description
"December 14, 1988",Calvin is getting dressed.  He asks if he has to wear the dorky clothes and get his hair combed.  Mom tells him that Dad is going to take his picture.  They're going to put a picture of Calvin in their Christmas cards so everyone can see what he looks like now.  Calvin replies that's a dumb idea.  He wonders why they're doing that.  Dad says it's so they won't have relatives dropping by to visit.
"December 14, 1989","Calvin stops again and tells Hobbes that since no one saw them fighting, it can be their little secret.  He says Santa doesn't have to know about this.  Hobbes isn't sure if Santa does or not.  Calvin apologizes to Hobbes.  Hobbes replies that Calvin bit and kicked.  Calvin says he apologized and wonders what else Hobbes wants.  Hobbes says Calvin could let him read all his comic books.  Calvin replies ""Over my dead body"".  Hobbes pretends to write Santa a note about what Calvin did today."
"December 14, 1990","Calvin thinks if Santa is going to judge his behavior over the past year, he ought to be entitled to legal representation.  A lot of Christmas loot is at stake.  The Constitution says no person should be deprived of property without due process of law.  Calvin says Hobbes can be his lawyer.  Calvin hands Hobbes a legal pad and says he's all set.  Hobbes informs Calvin he doesn't take pro bono cases."
"December 14, 1992","Dad sees Calvin watching another Christmas TV special.  Dad says it's touching to have the meaning of Christmas brought by food, cola, and beer conglomerates.  He walks away wondering who would have guessed product consumption, popular entertainment, and spirituality would mix so harmoniously.  Calvin says Dad doesn't handle the stress of the season very gracefully."
"December 14, 1993","Calvin writes Santa a letter.  He writes Santa ignores his list every year and brings practical things he doesn't want.  He asks if Santa is insane, gone senile, or can't read.  He asks if he's a vindictive elf destroying little kids' dreams.  Hobbes reads the letter and suggests sleeping on it.  Calvin knows, but he says he felt good writing it."
"December 14, 1995","In the house, Calvin says in the short term, it would make him happy to play outside.  In the long term, it would make him happier to do well in school and be successful.  As they ride down the hill on the sled, Calvin says in the very long term, he knows which will make better memories."
"December 15, 1985","Spiff is being pursued.  His hyper-freem drive fails.  A frap ray nearly misses.  Finally, Spiff is hit.  He's going down and wonders if he'll make it.  As Calvin lands on the ground after coming down the slide, he kisses the sweet ground. Miss Wormwood thinks maybe Calvin should play on the swings instead."
"December 15, 1986","Calvin has shrunk to the size of an insect.  His only hope is to call for help.  With all his might, he dials the phone.  It's ringing, but will anyone hear him.  Dad picks up the phone and hears buzzing.  He says that better not be Calvin."
"December 15, 1987",Calvin dances back and forth.  He asks Hobbes whether there is anything yet.  Hobbes looks out the window and tells him there isn't one snowflake.
"December 15, 1988","Dad aims the camera.  He asks Calvin for a nice smile.  Dad starts the count.  Calvin is sitting nicely with a pleasant smile on his face.  When the count reaches three, Calvin makes a weird face.  CLICK!   Dad chases Calvin.  Calvin tells Dad that his hair is getting messed up."
"December 15, 1989","Calvin tells Hobbes that if it wasn't so close to Christmas, he'd pound him good.  Hobbes wants to see him try.  Calvin won't be tempted.  He wants every item on his Christmas list, so he's being good.  Hobbes mentions Susie Derkins is coming.  Calvin looks for a pine cone to throw at her.  He stops, clenches his teeth, and says he's going to be good.  Hobbes says he'll never make it to Christmas.  He might as well give up now and enjoy himself."
"December 15, 1990","Calvin says as his lawyer, Hobbes will have to review the facts of the case.  Hobbes says they'll try to establish Calvin was insane at the time of the alleged crimes.  Calvin doesn't want to cop a plea of insanity.  He says he's innocent.  Hobbes tells Calvin insulting his attorney is a penal offense.  Calvin tells him he's supposed to argue he deserves to be on Santa's ""good"" list.  Hobbes advises Calvin to settle out of court.  Calvin angrily says in a minute, they are going to settle this out of doors."
"December 15, 1992",Calvin would like to have a talk with Dad.  He tells Dad it's his responsibility to show consumer confidence and by things to get the economy going.  Calvin gives Dad a list of big-ticket items he'd like for Christmas.  Calvin hopes he can trust Dad to do what's right for the country.  Dad says he has to stop leaving the Wall Street Journal around.
"December 15, 1993","Calvin writes Santa a letter complaining he didn't receive the 15000 items he requested last year.  He concludes Santa's secretarial staff is a bunch of underpaid and unprepared temps, with his letter being misfiled.  He offers Santa the option of writing a check to him for five million dollars, so that he can buy the stuff himself.  Calvin tells Hobbes that he won't be disappointed this year.  Hobbes suggests leaving out the part about the temps."
"December 15, 1995","A snowman has bowled another snowman's head down a lane into snow pins.  Calvin tells Hobbes that first, Mom says go out.  Now she says go in."
"December 16, 1985","Mom asks whether Calvin is bringing Hobbes to school again.  She asks whether the kids make fun of him for doing that.  Calvin replies that Tommy Chesnutt did, but no one did anymore.  Mom asks what happened to Tommy.  Calvin replies that Hobbes ate him.  Hobbes comments that Tommy needed a bath."
"December 16, 1986","Calvin rinses his hair and forms it into a point.  He walks into the kitchen, telling Mom that the earth female should not be alarmed.  His planet is dying, and they need cookies to survive.  He tells her not to resist or she will be destroyed.  He walks off with the cookie jar.  Mom chases after him."
"December 16, 1987","Calvin is writing to Santa Claus.  He tells Santa he didn't get several things from his list last year.  For Santa's convenience, Calvin has grouped those items together on page 12.  Calvin asks Santa to please check them carefully and include them with the rest of this year's loot.  While Hobbes reads the note, Calvin tells him that Santa's gotten sloppy without competition."
"December 16, 1988",Calvin is sitting on the stool again.  Dad tells him he doesn't have much film left.  He tells him to quit making faces.  He says he would have been done 20 minutes ago if Calvin had cooperated.  He tells Calvin to give him a smile and hold it.  Calvin partly closes his eyes and opens his mouth strangely.  CLICK!  Dad yells.  Calvin claims that was a smile.
"December 16, 1989",Susie asks Calvin if he's bringing Hobbes to school.  Calvin says Hobbes is just keeping him company while he waits for the bus.  Calvin goes on to say Hobbes has been nothing but trouble today.  He's trying to sabotage Calvin's Christmas by making Calvin be bad.  Calvin tells Susie that he asked Santa for such great presents that he can withstand any temptation.  Susie asks what he asked for.  Calvin tells her a heat-seeking guided missile.  He figures five minutes with one of those babies makes up for the whole rotten month.
"December 16, 1990","Calvin thinks nobody could be watching every kid every minute.  He says Santa's old.  He figures Santa makes just random checks on them once or twice a week.  He tells Hobbes Santa would catch enough bad kids that way to scare everyone else into being good most of the time.  Now that Calvin is on to Santa, he's going to smack Susie with a snowball.  If he does it quick, the odds of Santa catching him are virtually nil.  Hobbes asks what if Susie tells on him.  He hadn't thought of that.  He drops the snowball.  He walks off with Hobbes saying he hopes Santa's watching now, seeing as he's being so good.  Hobbes says he's unwillingly good, but good nonetheless."
"December 16, 1992","Mom is angry.  She kicks Calvin outside.  Calvin says that if a novelty Christmas song is funny the first time, it's funny every time."
"December 16, 1993","Calvin writes Santa a letter, saying he's Calvin's brother, Melville.  He encloses a list, telling Santa not to confuse his list with Calvin's.  He says there are two kids at the house now.  Calvin tells Hobbes that if Santa falls for this, he'll add a new brother every year."
"December 16, 1995",Calvin calls Susie's snowman the worst one ever.  She tells him to go build a better one.  He says maybe he will and walks away.  He comes back and says his words speak louder than his actions.
"December 17, 1985",Dad comes into the bedroom yelling that Calvin is making too much noise and is supposed to be asleep.  Calvin replies he's hitting monsters under the bed.  He's using a baseball bat.  Dad shows Calvin he's mistaken by pulling Hobbes out from under the bed.  Calvin says it's a good thing he occasionally missed with the bat.  Hobbes agrees and asks to see the bat for a minute.
"December 17, 1986","Calvin plays with a Ouija board.  He tells Hobbes the board knows all.  They decide to ask the board which of them is smarter.  Calvin calls for the board to answer their question.  As they struggle over the pointer, Hobbes says it's heading for the ""H"".  Calvin disagrees, saying it's trying to go to ""C""."
"December 17, 1987","Calvin listens to the radio as it plays ""Santa Claus is Coming to Town"".  Calvin turns the radio and offers the thought that Santa is either a kindly, old elf or a CIA spook."
"December 17, 1988","There are photos Mom and Dad are looking at.  One looks like Calvin had sucked a lemon, one has him shaking his face back and forth, one has him leaned back so you see up his nose, one has his looking backward.  Dad says they can't send those in the Christmas cards, people would think it's sacrilegious.  Mom says the pictures do look like Calvin, except for the combed hair."
"December 17, 1989","Hobbes brings Calvin a letter from the ""North Pole"".  Calvin opens the note and reads that he's a rotten little kid, he's obviously the naughtiest kid in the whole world, but he has seven days to get on the ""good boy"" list.  The note suggests being kind to animals.  Perhaps an animal who would like a snack soon, or one who could read his comic books sometime.  It's signed ""Santa Claws"".  Calvin recognizes the handwriting.  It is from Hobbes.  Calvin offers Hobbes a knuckle sandwich for a snack."
"December 17, 1990","Calvin tells Mom that he and Hobbes are off to the North Pole.  Mom asks why he's going there since he's sent his Christmas list already.  Calvin is afraid Santa hasn't considered Calvin's version of certain recent events.  Mom asks just how recent are these recent events he's talking about.  Calvin says it's a long walk, so he has to go."
"December 17, 1992","Calvin tells Hobbes he's having a lot of holiday stress.  Hobbes asks why.  He says Calvin doesn't shop for anyone, has two weeks off from school, and his parents do all the cooking and cleaning.  Calvin says he doubts his greed for presents can overcome his desire to misbehave."
"December 17, 1993","Calvin stands outside with no snow.  He says he can't paste anyone with a snowball, which means he's good and will get lots of Christmas presents.  Then it starts snowing.  He says nothing is life is ever easy."
"December 17, 1995","Going down the hill on the sled, Calvin wants to try a different path.  He tells Hobbes change is invigorating.  If you don't accept new challenges, you become lazy.  Change forces them to experiment and adapt.  That's how they learn and grow.  As they sail off the edge of the hill, Calvin says there's a fresh challenge.  Hobbes admits it's opened up new horizons.  Stuck in the snow, Hobbes says new experiences are rarely the ones they choose."
"December 18, 1985","Calvin is playing with some toys.  He has a sports car going 200 miles an hour.  He has a cement truck coming in.  Then, he has an inflammable chemical truck driving up.  Calvin looks up and says this ought to be good."
"December 18, 1986",They decide to ask the Ouija board a different question.  Calvin wants to know if he'll grow up to be president.  The pointer starts to move.  G..O..D..F..O..R..B..I..D.  Calvin kicks the board and says he'll ask for an editorial when he wants one.
"December 18, 1987","Calvin tells Hobbes the Santa thing bothers him, especially the judge and jury bit.  Calvin wants assurances Santa is impartial.  He wonders what criteria Santa uses to determine good and bad.  He asks about extenuating circumstances.  He suggests kids should have legal counsel.  Hobbes asks if he's worried about the salamander incident.  Calvin quickly cries that was temporary insanity."
"December 18, 1988","Calvin has a slushball.  He sees Susie coming and says this is his chance.  Susie sees him cocking his arm.  She tells him he'd better not throw the slushball.  Santa Claus is watching him right now.  Calvin stops, and he thinks.  Finally, he lets loose the slushball.  WHAP!  Calvin rejoices.  He says it was worth it.  He's not sorry.  It was beautiful, and he'd do it again in a minute.  He laughs.  Suddenly, he sees Susie coming after him.  He runs.  Calvin, now buried in snow, says Santa's going to skip this block for years."
"December 18, 1989","Calvin asks Hobbes if he'll help him write a book.  Calvin says this book will be like historical fiction.  He's writing a fictional autobiography.  He tells Hobbes it's the story of his life with a lot of parts completely made up.  Hobbes asks why he'd want to make up his whole life.  Calvin replies that in his book, he has a flame thrower."
"December 18, 1990",Calvin maps out their strategy of telling Santa that Calvin has been the victim of malicious slanders by his enemies.  Calvin says they tell Santa Calvin is a good kid with a good heart.  Calvin notices Susie.  He starts to pack slushballs.
"December 18, 1992","Calvin has a plan.  He'll do ten spontaneous acts of good will a day between now and Christmas.  Santa will have to be lenient in judging the rest of this last year.  Hobbes thinks ten is a lot.  He says here comes Calvin's chance.  Susie is coming.  Calvin starts to make a snowball, saying maybe he'll start tomorrow and do twenty a day."
"December 18, 1993",Hobbes notices all the snow.  Calvin tells Hobbes he's being tempted to smack Susie with a slushball and forfeiting all his presents.  His immediate pleasure is being pitted against his future greed.  Hobbes laments for poor Susie.  Calvin protests that it's not a foregone conclusion.
"December 18, 1995","Calvin says the Christmas season is time for personal reflection.  It's time to think about what's important.  He says it's time to rededicate oneself to acquisition, a time to spread the joy of material wealth, time to glorify excess of every kind.  Hobbes says earthly rewards make consumerism a popular religion."
"December 19, 1985","Calvin is digging trenches in the yard, then building dirt berms.  Mom comes out yelling at Calvin about what he's doing to the yard.  Calvin replies he's making speed bumps."
"December 19, 1986","Hobbes wonders how the Ouija board knows all the answers to life's mysteries.  Calvin decides to ask it.  The pointer goes to ""3"".  Calvin remembers he didn't ask for the Ouija board last Christmas, he asked for a computer."
"December 19, 1987","Calvin questions what Santa does when you've been both good and bad.  He wonders what if a kid tried to do good, but bad things kept happening.  What if a kid just had terrible luck and got blamed for things he only sort of did on purpose.  Hobbes wants to know who they're talking about.  Calvin says this is just a hypothetical case."
"December 19, 1988",Calvin asks Hobbes if he thinks there are any monsters under the bed tonight.  Hobbes doesn't know.  He wonders how you can tell without looking.  Calvin says one way is to tell a story about a little kid getting mauled and eaten alive.  Hobbes asks how that tells you if you have monsters.  Calvin replies that sometimes they laugh.
"December 19, 1989","Calvin comes upon a sleeping Hobbes.  Calvin says a poem.  ""Still and quiet feline form, in the sun asleep and warm, his tail is limp, his whiskers drooped, man what could make this cat so pooped"".  He walks off.  Hobbes thinks ""sheeshh""."
"December 19, 1990","Calvin tells Hobbes Susie is concentrating on her snowman.  He wants to barrage her with slushballs.  Hobbes reminds him that two minutes ago, they were on their way to tell Santa how good Calvin was.  Calvin looks at the slushballs on the ground.  He asks Hobbes how many presents he thought Calvin would forfeit for one clean smack upside Susie's head."
"December 19, 1992","Hiding behind a snowman, Calvin has a clear shot at Susie.  Hobbes says he thought Calvin was going to do ten acts of good will a day.  Calvin says he'll do them after lunch.  Hobbes tells him doing good deeds isn't going to impress Santa if he does bad things all morning.  Calvin wonders if grazing her jaw would be in a gray area.  Hobbes tells Calvin not to expect to play with his toys when Calvin doesn't get any."
"December 19, 1993","Calvin reads a letter he received from Santa.  It's written in verse, to the pattern of ""Night before Christmas"".  Santa writes that he's repealed his laws and suggests Calvin be vulgar and crude.  Santa writes for Calvin to burp and never say ""thank you"" or ""you're welcome"".  He suggests talking back to his parents and to act like a jerk, anytime, anywhere.  Santa writes bad boys and girls will be the ones to get the toys.  Calvin wakes up.  He frowns and lies in bed.  He hates being good six days until Christmas.  He doesn't think he'll make it."
"December 19, 1995",Calvin looks out the window to see snow.  He thinks it will be perfect sledding weather.  The doorbell rings.  It's the aliens Calvin sold the planet to for fifty alien tree leaves.  They asks what's wrong with the planet he sold.
"December 2, 1985","Dad is informed his poll scores are low, especially with 6-year-olds.  Dad will have to adopt some key planks to keep his position.  Dad comments that some special interest groups are going to be in for a surprise."
"December 2, 1986","Calvin hears the doorbell.  The baby sitter is here.  Hobbes suggests hiding, but Calvin says they smell fear. Hobbes suggests going on the offensive.  Calvin asks for paper and a pencil.  Hobbes recognizes a blackmail attempt coming. Calvin tells him to get to the upstairs phone when she calls her boyfriend."
"December 2, 1987",Calvin gives up.  He tells Hobbes to untie him since he can't escape.  Hobbes is trying to figure out the knots. Calvin tells him to hurry up.  Hobbes pulls the rope.  Calvin hollers that Hobbes tightened it.  Mom gives Calvin a last call for dinner.  Hobbes goes to look for Calvin's Cub Scout manual.
"December 2, 1988","Calvin and Hobbes are standing in the middle of a totally demolished living room.  Calvin is holding a bat, Hobbes a ball.  Calvin asks Hobbes if he thinks God lets you plea bargain.  Hobbes says he'd worry more about Mom."
"December 2, 1989",Calvin tells Hobbes he missed the show.  He tells him he got a big lecture because he got stuck on the ceiling and then grew so big he fell off the planet when he should have been doing math.  Hobbes doesn't think that isn't fair.  Calvin asks for help on his homework.  Hobbes says tigers are good at math.  He asks what the little horizontal lines mean.  Calvin tells him it's a minus sign.  He tells Hobbes to let him know when he's done.  Calvin is going to be reading comic books.
"December 2, 1990","Calvin sees Susie.  He wishes he had a snowball to smack her with.  Hobbes says he bets Santa Claus heard that.  Calvin remembers.  Hobbes suggests Calvin apologize.  Calvin does. Hobbes suggests he better say he likes Susie. Calvin says that's going too far.  Hobbes says he better say he'd like to give her muchas smooches.  Calvin starts to fight with Hobbes.  Susie asks what he's doing.  She doesn't know what's weirder, that he's fighting a stuffed animal, or that he seems to be losing.  Susie leaves.  Hobbes says after today, Santa will take a shovel to the reindeer stalls to fill Calvin's stocking."
"December 2, 1992","Calvin asks Susie if she hates being a girl.  Susie says it's better than the alternative.  Calvin asks if it's like being a bug.  Calvin thinks bugs and girls have a perception that nature played a trick on them, but they lack the intelligence to comprehend it.  Lying upside down against his locker, Calvin thinks he must have put his finger on it."
"December 2, 1993","Calvin crawls into bed.  Hobbes tells him at least he's finished with the paper.  Calvin says it could have been better.  He gets a chance to write about something he knows, and he has to rush the whole thing.  Hobbes says he did the best he could with the time he had.....sort of.  Calvin thinks geniuses should be given special considerations."
"December 2, 1995","Looking out his bedroom window, Calvin says he loves the sound of sleet hitting the window panes at night.  When the sleet turns to heavy snow, he knows the world will be buried in ice and snow.  He says it's one of the few pleasures reserved for those who don't drive."
"December 20, 1985","Calvin and Hobbes are lying on a hill.  Calvin wonders where they go when they die.  They think about it awhile, and Hobbes wonders if it's Pittsburgh.  Calvin wonders whether Hobbes is referring to where they go if they're good or if they're bad."
"December 20, 1986","Calvin complains about having to go to bed.  He never gets to do what he wants.  He says they'll be sorry if he grows up to be a psychopath because of all this.  Dad tells him no one ever became a psychopath because he had to go to bed at a reasonable hour.  Calvin adds that they don't let him chew tobacco, either.  They don't know what might push him over the brink."
"December 20, 1987","Calvin excitedly tells Dad that he and Mom have picked a Christmas tree.  He tells Dad to help bring it in.  Dad tells him he thought they'd keep the tree in the garage this year.  Dad continues that you can go out and look at it, and that saves the trouble of decorating it.  Calvin can't believe they're not decorating the tree.  Dad says they take it down in two weeks, so it's not worth the bother.  He mentions that if Calvin gets a present......and Calvin is shocked to hear IF he gets A present.  Dad continues ....you can take it to the garage and pretend the tree has lots of lights.  Calvin runs off yelling for Mom. Mom points her finger into Dad's nose and tells him she knows somebody who's going to get a lump of coal in his stocking this year.  Dad comments on the season getting less jolly every year."
"December 20, 1988","Calvin is cold.  He asks why they keep the house so cold.  He tells Dad to crank up the thermostat and start a fire.  Dad has a better idea.  He has Calvin follow him.  He opens the door and asks Calvin to step outside.  Dad closes the door.  He tells Calvin in a few minutes he can come back inside, and the house will seem nice and warm.  Calvin yells back that he's telling the newspapers about him."
"December 20, 1989",Calvin tells Mom he's making a newspaper to report the events of the household.  He's looking for a page one lead story and asks if he can interview her.  He asks what she's cutting up for dinner.  Mom replies fish.  Calvin has the headlines.  Knife wielding mother hacks ichthyoid!  Grim melee is evening ritual!  Suburban family devours victim!  Mom shoo's him out of the kitchen.
"December 20, 1990","Hobbes says he won't be Calvin's lawyer if he can't walk a block without pasting someone with a slushball.  Calvin says it's not ""someone"".  It's Susie.  Santa would understand.  Susie hears Calvin behind the tree arguing with Hobbes.  She hears him say he's going to hit her with a big, icy slushball.  As Calvin continues to argue with Hobbes, Susie makes her own slushball.  Calvin tells Hobbes to hold it.  He asks if Hobbes heard a snicker.  Susie is standing right behind him with a slushball."
"December 20, 1992","Calvin wishes Santa would publish his guidelines for goodness.  Calvin says if a nerd likes being good, it's easy for him to meet the standards.  He says the true test of one's mettle is being good when one has an inclination toward evil.  He thinks one good act by him is worth five good acts by a good-natured kid and asks if Hobbes agrees.  He hits Susie with a snowball.  As Calvin and Hobbes run off, Hobbes says in Calvin's case, the question is academic."
"December 20, 1993",Calvin builds snowballs.  He keeps adding to his pile.  Hobbes comes over and looks up at the mountain of snowballs.  Calvin tells him the day after Christmas is going to be epic.
"December 20, 1995","The aliens complain the cold white glop covers them and freezes their innards.  Calvin says it's snow.  They get it every winter.  The aliens complain Calvin didn't tell them about that.  He replies that they didn't ask.  They say they were overcharged.  Calvin tells them ""let the buyer beware"".  The aliens walk off complaining that he's a dishonorable potentate.  They demand he bring the planet up to code."
"December 21, 1985","Calvin and Hobbes are wandering in the tall grass.  Hobbes says they're lost again.  Calvin, in his pith helmet, says that ""lost"" isn't in the vocabulary of brave explorers.  Hobbes wonders if ""mommy"" is.  They both cry out ""mommy""."
"December 21, 1986","A prehistoric monster is awakened.  It makes its way to Japan and emerges.  Calvin jumps up out of his bathtub water.  He walks down the stairs saying he's heading for the power lines, trailing destruction.  He comes up to Mom. Mom tells him to get back in the tub, he's making a mess.  Calvin says it's Megalon, his arch-rival.  He spits a bunch of water on Mom, saying it's a fireball.  She chases him back up the stairs saying no more afternoon TV movies for him."
"December 21, 1987","Calvin tells Hobbes the Santa Claus thing makes no sense.  Calvin doesn't get the mystery, the secrecy.  If Santa exists, why doesn't he show himself and prove it.  If Santa doesn't exist, what's the meaning of all this.  Hobbes doesn't know, but asks if this isn't a religious holiday.  Calvin admits it is, but he says he has the same questions about God."
"December 21, 1988","Calvin asks Dad to read ""Hamster Huey and the Gooey Kablooie"".  Dad doesn't want to read that again.  He asks to read something different tonight.  Calvin wants ""Hamster Huey"".  Dad says he's read it a thousand times.  Calvin puts his hands together and begs Dad to please read it.  Dad agrees.  Calvin asks for him to do the squeaky voices, the gooshy sound effects, and the happy hamster hop, also.  Dad asks if he can't read something else."
"December 21, 1989","Calvin tells Dad he's making a newspaper to report the events of the household.  He asks Dad to help him out either by giving him fifteen bucks to pay labor and production costs or to be the subject of a comic strip, ""Dopey Dad"".  Under his blanket at night, using a flashlight, Calvin and Hobbes are drawing the comic strip.  Calvin has Dopey Dad yelling ""It's bed time for you, young man"".  Hobbes chuckles about how big he made the mouth."
"December 21, 1990","Susie smacks Calvin with her slushball.  Calvin is happy, because since she hit him first, it's justified.  Hobbes tells him it's a chance to show Santa how good he is.  Calvin, head covered in slush, says he doesn't want to be that good."
"December 21, 1992","Calvin throws the snowball and hits Susie.  Calvin thinks of Santa and says he's sorry to Susie.  She chases him.  Lying buried in snow, Calvin says if you suffer for your sins, they don't count.  Hobbes thinks that's his only hope."
"December 21, 1993","Calvin has a snowball and comments throwing it would give him certain pleasure.  Refraining from throwing the snowballs in hope of being rewarded at Christmas is delayed and uncertain pleasure.  Calvin looks at the mountain of snowballs.  He says that as usual, goodness hardly puts up a fight."
"December 21, 1995",Mom asks who's at the door.  Calvin tells her it's the Girl Scouts.  He whisks the aliens outside.  He tells them he'll see what he can do about fixing the climate.  Mom asks where the Girl Scouts went.  Calvin says they had to earn a merit badge.
"December 22, 1985","Calvin finishes building a snow fortress.  As he and Hobbes are inside, Calvin rants about being invincible.  That the fort is impenetrable, and that they rule and are immune to any onslaught.  Calvin then looks over at Hobbes, who is grinning widely.  Hobbes then smacks Calvin with a snowball."
"December 22, 1986","Calvin is making Mom and Dad a Christmas present out of clay.  Hobbes asks what it is, and Calvin tells him it's an ashtray.  Hobbes looks up.  He says Mom and Dad don't smoke.  Angrily, Calvin tells him ""OK, Michaelangelo, you sculpt something!""."
"December 22, 1987","Calvin questions whether he'll get any presents since he doubted the existence of Santa Claus.  Calvin is concerned Santa might be putting his name on a ""bad"" list right now.  Hobbes offers that if Calvin wasn't on the ""bad"" list all along, doubting Santa's existence wouldn't push him over.  Calvin sarcastically thanks Hobbes for the comfort.  Hobbes pleads that this is why he's on the ""bad"" list...insults."
"December 22, 1988","Mom wakes up to hear Calvin calling loudly for her.  She goes to his room and asks what's the matter.  Calvin asks if people grow from spores.  Mom yells that it's 2 AM and he is asking her if people grow from spores.  She asks if he's out of his mind.  She wonders why he's even awake.  She tells him to go to sleep.  After she leaves, Calvin tells Hobbes she didn't answer, so she must not know.  Hobbes says it's true."
"December 22, 1989",Calvin gets out of the bathtub wearing a snorkel and mask.  He's breathing through the snorkel.  He goes out the bathroom door and down the stairs.  He's standing there naked telling Mom he wishes they would get an aquarium.
"December 22, 1990","Calvin comes back in the house saying he proved how good he was.  He says Susie hit him with a snowball, and he didn't hit her back.  He figures Santa has to give him lots of presents now.  Mom asks why Susie hit Calvin with a snowball.  Calvin says they were minding their own business when she attacked for no reason.  Hobbes tells Calvin that since he lied, if he does something good fast, the last hour will even out to neutral.  Calvin laments that he won't make it three more days."
"December 22, 1992","Calvin hands Hobbes a comic book.  He says he can read it.  Calvin tells him to be sure his hands are clean, and that he use sterilized tongs to turn the pages.  Calvin proclaims one act of good will.  Hobbes thinks spontaneous acts of good will should be less reluctant."
"December 22, 1993","Calvin wonders what if there isn't a Santa Claus.  He says this Santa stuff is hard to believe.  The flying reindeer, going around the world in a night, the chimney bit.  He asks Hobbes what if it's a hoax and he's being good for nothing.  Hobbes laughs that he's always been good for nothing.  Calvin makes a snowball and says that if he exists, Santa will forgive this one."
"December 22, 1995",Calvin tells Hobbes the aliens claim he sold a defective planet.  Hobbes suggests offering a refund.  Calvin threw away the leaf collection when it got a bad grade.  Hobbes thinks they should help them stay warm.  Calvin says they don't have arms.  They'd need huge socks.  Hobbes starts to take down their Christmas stockings from the fireplace.  Calvin thinks that's a bad idea.
"December 23, 1985","Calvin notices there isn't a stocking over the fireplace for Hobbes.  Calvin asks where Santa will put Hobbes' loot if there is no stocking.  Mom assures Calvin she'll make a stocking for Hobbes.  Mom looks over at Dad and asks about Hobbes' loot.  Dad says not to look at him, he's done shopping."
"December 23, 1986","Calvin tells Hobbes a homemade gift says more than a store-bought gift.  It says you invested your time and skill into it.  It says it's a personal gift, not a generic one.  He tells Hobbes it also means you need a bigger allowance."
"December 23, 1987","Calvin decides to believe in Santa Claus, no matter how preposterous he sounds.  Hobbes asks what convinced him.  Calvin replies that it was a simple risk analysis.  Calvin wants lots of presents.  Calvin thinks it he shouldn't risk getting them over a matter of belief.  He'll believe whatever they want.  Hobbes comments on how cynically enterprising that is of Calvin.  Calvin says ""It's the spirit of Christmas""."
"December 23, 1988",Calvin says it's a fallacy that kids need 12 years of school.  He says three months are plenty.  He offers himself as an exhibit.  He's smart.  He doesn't need 11 1/2 more years of school.  It's a waste of time.  Hobbes asks him how he got all the way to the bus stop with both his feet through one pant leg.  Calvin says he fell down a lot.  He asks Hobbes what his point is.  Hobbes rolls his eyes and says he was just curious.
"December 23, 1989","Dad asks Calvin what story he'd like to hear.  Calvin wants ""Hamster Huey and the Gooey Kablooie"".  Dad wants to read something different.  Calvin insists.  Dad says he's going to read a different story that Calvin will like.  Calvin says he won't like it.  He threatens to stay awake until morning unless Dad reads Hamster Huey.  Afterward, Hobbes tells Calvin he doesn't remember Hamster Huey having quite that sarcastic tone of voice.  Calvin doesn't remember Hamster Huey doing everything so fast."
"December 23, 1990","Going down the hill on the sled, Calvin says he's getting nervous about Christmas.  He wonders what Santa's definition of good and bad are.  He says he hasn't killed anybody, so that's good.  He hasn't committed any felonies, start any wars, or practiced cannibalism.  He thinks that should get lots of presents.  Hobbes suggests maybe good is more than the absence of bad.  That's what worries Calvin.  He asks Hobbes that if he can get an overnight letter to the North Pole, what would Hobbes charge to write him a glowing character reference.  Hobbes says he won't perjure himself for Calvin.  His record's clean."
"December 23, 1992","Calvin eats his food, saying he guesses this is boiled guano on raw maggots.  He declares another spontaneous act of good will.  He says Santa better come through in spades for this.  Mom asks if Calvin wants more maggots.  He says to pile them on."
"December 23, 1993",Calvin has a snowball.  He says he's not bad.  He's exuberant!  He tells Hobbes there's nothing wrong with being exuberant.  He throws the snowball and hits someone.  He and Hobbes run.  Hobbes tells Calvin to explain the semantics to Mom.  Calvin notices Mom got her wind back and is gaining on them.
"December 23, 1995","Hobbes puts the Christmas stockings on the aliens.  They thank the earth leader and leave.  Calvin complains Santa can't fill them with loot.  Hobbes is sure that Santa knows they did a good thing, and things will work out.  Calvin realizes he did do something good.  He's thinking jackpot now.  Hobbes says Calvin's selflessness is the hope of the season."
"December 24, 1985","Calvin and Hobbes are in bed.  Calvin asks whether Hobbes is still awake, which he is.  Downstairs they go. They wait at the fireplace, and Calvin says when Santa drops his bag down, Hobbes should grab it and Calvin will close the flue."
"December 24, 1986",Hobbes is reading a news article that says many people find Christmas the most stressful time of the year. Calvin can believe it.  He says it stresses him.  Hobbes asks why.  Calvin explains that he hates being good.
"December 24, 1987","Calvin whispers to Hobbes in bed asking if he's awake.  Hobbes is.  Calvin hasn't heard Santa yet.  He wonders if he's coming.  Hobbes notes it's only 11:00.  They may be later in the route.  They hear a thump.  Hobbes says it's Santa.  He tells Calvin Santa is saying something.  Dad is jumping around holding his foot, cussing in his pain.  Mom tells him to be quiet or Calvin will hear him."
