date,book,page
1986-01-26,The Essential Calvin and Hobbes,48
1986-01-27,Calvin and Hobbes,38
1986-01-27,The Essential Calvin and Hobbes,49
1986-01-28,Calvin and Hobbes,38
1986-01-28,The Essential Calvin and Hobbes,49
1986-01-29,The Calvin and Hobbes Tenth Anniversary Book,30
1986-01-29,Calvin and Hobbes,38
1986-01-29,The Essential Calvin and Hobbes,49
1986-01-30,The Calvin and Hobbes Tenth Anniversary Book,26
1986-01-30,Calvin and Hobbes,39
1986-01-30,The Essential Calvin and Hobbes,50
1986-01-31,Calvin and Hobbes,39
1986-01-31,The Essential Calvin and Hobbes,50
1986-02-01,Calvin and Hobbes,39
1986-02-01,The Essential Calvin and Hobbes,50
1986-02-02,Calvin and Hobbes,40
1986-02-02,The Essential Calvin and Hobbes,51
1986-02-03,Calvin and Hobbes,41
1986-02-03,The Essential Calvin and Hobbes,52
1986-02-04,Calvin and Hobbes,41
1986-02-04,The Essential Calvin and Hobbes,52
1986-02-05,Calvin and Hobbes,41
1986-02-05,The Essential Calvin and Hobbes,52
1986-02-06,Calvin and Hobbes,42
1986-02-06,The Essential Calvin and Hobbes,53
1986-02-07,Calvin and Hobbes,42
1986-02-07,The Essential Calvin and Hobbes,53
1986-02-08,Calvin and Hobbes,42
1986-02-08,The Essential Calvin and Hobbes,53
1986-02-09,Calvin and Hobbes,43
1986-02-09,The Essential Calvin and Hobbes,54
1986-02-10,Calvin and Hobbes,44
1986-02-10,The Essential Calvin and Hobbes,55
1986-02-11,Calvin and Hobbes,44
1986-02-11,The Essential Calvin and Hobbes,55
1986-02-12,Calvin and Hobbes,44
1986-02-12,The Essential Calvin and Hobbes,55
1986-02-13,Calvin and Hobbes,45
1986-02-13,The Essential Calvin and Hobbes,56
1986-02-14,Calvin and Hobbes,45
1986-02-14,The Essential Calvin and Hobbes,56
1986-02-15,Calvin and Hobbes,45
1986-02-15,The Essential Calvin and Hobbes,56
1986-02-16,Calvin and Hobbes,46
1986-02-16,The Essential Calvin and Hobbes,57
1986-02-17,Calvin and Hobbes,47
1986-02-17,The Essential Calvin and Hobbes,58
1986-02-18,Calvin and Hobbes,47
1986-02-18,The Essential Calvin and Hobbes,58
1986-02-19,Calvin and Hobbes,47
1986-02-19,The Essential Calvin and Hobbes,58
1986-02-20,Calvin and Hobbes,48
1986-02-20,The Essential Calvin and Hobbes,59
1986-02-21,Calvin and Hobbes,48
1986-02-21,The Essential Calvin and Hobbes,59
1986-02-22,Calvin and Hobbes,48
1986-02-22,The Essential Calvin and Hobbes,59
1986-02-23,Calvin and Hobbes,49
1986-02-23,The Essential Calvin and Hobbes,60
1986-02-24,Calvin and Hobbes,50
1986-02-24,The Essential Calvin and Hobbes,61
1986-02-25,Calvin and Hobbes,50
1986-02-25,The Essential Calvin and Hobbes,61
1986-02-26,Calvin and Hobbes,50
1986-02-26,The Essential Calvin and Hobbes,61
1986-02-27,Calvin and Hobbes,51
1986-02-27,The Essential Calvin and Hobbes,62
1986-02-28,Calvin and Hobbes,51
1986-02-28,The Essential Calvin and Hobbes,62
1986-03-01,Calvin and Hobbes,51
1986-03-01,The Essential Calvin and Hobbes,62
1986-03-02,Calvin and Hobbes,52
1986-03-02,The Essential Calvin and Hobbes,63
1986-03-03,Calvin and Hobbes,53
1986-03-03,The Essential Calvin and Hobbes,64
1986-03-04,Calvin and Hobbes,53
1986-03-04,The Essential Calvin and Hobbes,64
1986-03-05,Calvin and Hobbes,53
1986-03-05,The Essential Calvin and Hobbes,64
1986-03-06,Calvin and Hobbes,54
1986-03-06,The Essential Calvin and Hobbes,65
1986-03-07,Calvin and Hobbes,54
1986-03-07,The Essential Calvin and Hobbes,65
1986-03-08,Calvin and Hobbes,54
1986-03-08,The Essential Calvin and Hobbes,65
1986-03-09,Calvin and Hobbes,55
1986-03-09,The Essential Calvin and Hobbes,66
1986-03-10,Calvin and Hobbes,56
1986-03-10,The Essential Calvin and Hobbes,67
1986-03-11,Calvin and Hobbes,56
1986-03-11,The Essential Calvin and Hobbes,67
1986-03-12,Calvin and Hobbes,57
1986-03-12,The Essential Calvin and Hobbes,67
1986-03-13,Calvin and Hobbes,58
1986-03-13,The Essential Calvin and Hobbes,68
1986-03-14,Calvin and Hobbes,58
1986-03-14,The Essential Calvin and Hobbes,68
1986-03-15,Calvin and Hobbes,57
1986-03-15,The Essential Calvin and Hobbes,68
1986-03-16,Calvin and Hobbes,59
1986-03-16,The Essential Calvin and Hobbes,69
1986-03-17,Calvin and Hobbes,60
1986-03-17,The Essential Calvin and Hobbes,70
1986-03-18,Calvin and Hobbes,60
1986-03-18,The Essential Calvin and Hobbes,70
1986-03-19,Calvin and Hobbes,60
1986-03-19,The Essential Calvin and Hobbes,70
1986-03-20,Calvin and Hobbes,61
1986-03-20,The Essential Calvin and Hobbes,71
1986-03-21,Calvin and Hobbes,61
1986-03-21,The Essential Calvin and Hobbes,71
1986-03-22,Calvin and Hobbes,61
1986-03-22,The Essential Calvin and Hobbes,71
1986-03-23,Calvin and Hobbes: Sunday Pages 1985-1995,24
1986-03-23,Calvin and Hobbes: Sunday Pages 1985-1995,25
1986-03-23,Calvin and Hobbes,62
1986-03-23,The Essential Calvin and Hobbes,72
1986-03-24,Calvin and Hobbes,63
1986-03-24,The Essential Calvin and Hobbes,73
1986-03-25,Calvin and Hobbes,63
1986-03-25,The Essential Calvin and Hobbes,73
1986-03-26,Calvin and Hobbes,63
1986-03-26,The Essential Calvin and Hobbes,73
1986-03-27,Calvin and Hobbes,64
1986-03-27,The Essential Calvin and Hobbes,74
1986-03-28,Calvin and Hobbes,64
1986-03-28,The Essential Calvin and Hobbes,74
1986-03-29,Calvin and Hobbes,64
1986-03-29,The Essential Calvin and Hobbes,74
1986-03-30,Calvin and Hobbes,65
1986-03-30,The Essential Calvin and Hobbes,75
1986-03-31,Calvin and Hobbes,66
1986-03-31,The Essential Calvin and Hobbes,76
1986-04-01,Calvin and Hobbes,66
1986-04-01,The Essential Calvin and Hobbes,76
